,longitude,latitude,elevation
687,135.206295,-25.503541,188.76
688,135.219635,-25.510211,182.74
689,135.234635,-25.518541,187.43
690,135.246295,-25.525211,179.31
691,134.609641,-25.591876,272.46
692,134.621301,-25.605216,283.35
693,134.634641,-25.608546,270.9
694,134.649641,-25.611876,266.92
695,134.659641,-25.623546,261.2
696,134.667971,-25.635216,244.6
697,134.694641,-25.646876,248.15
698,134.709641,-25.650216,243.44
699,134.727971,-25.655215,232.98
700,134.742971,-25.656875,230.1
701,134.764641,-25.653545,227.37
702,134.7813,-25.656875,237.71
703,134.7963,-25.655215,227.85
704,134.82297,-25.666875,226.0
705,134.83797,-25.671875,223.91
706,134.85297,-25.671874,224.38
707,134.8663,-25.663544,223.24
708,134.87797,-25.671874,222.33
709,134.8863,-25.683544,220.46
710,134.89797,-25.686874,218.79
711,134.89297,-25.700214,218.13
712,134.89464,-25.705214,216.32
713,134.90797,-25.710214,215.87
714,134.91797,-25.708544,207.11
715,134.927969,-25.700214,204.71
716,134.926299,-25.670214,205.79
717,134.929639,-25.655214,203.28
718,134.929639,-25.645214,205.06
719,134.934639,-25.635214,206.08
720,134.946298,-25.611873,215.55
721,134.952968,-25.600213,210.38
722,134.949638,-25.585213,203.78
723,134.949638,-25.571873,202.64
724,134.942968,-25.546873,206.75
725,134.944638,-25.535213,206.18
726,134.957967,-25.526873,204.77
727,134.966297,-25.515213,205.72
728,134.977967,-25.506873,206.35
729,134.994637,-25.503543,202.12
730,135.011297,-25.506873,195.49
731,135.024637,-25.510212,191.3
732,135.057966,-25.510212,190.17
733,135.376292,-25.390209,155.21
734,135.367962,-25.401869,156.29
735,135.362962,-25.415209,157.81
736,135.354633,-25.428539,161.38
737,135.344633,-25.440209,165.96
738,135.339633,-25.44854,167.09
739,135.324633,-25.46187,166.35
740,135.309634,-25.47021,170.0
741,135.294634,-25.47854,172.97
742,135.272964,-25.49521,182.39
743,135.342963,-25.46187,164.08
744,135.346293,-25.47521,162.14
745,135.354633,-25.48854,161.09
746,135.359633,-25.50187,160.45
747,135.362963,-25.51521,157.65
748,135.377963,-25.520209,156.62
749,135.389633,-25.528539,154.27
750,135.401293,-25.535209,152.64
751,135.412963,-25.538539,152.47
752,135.416293,-25.543539,155.3
753,135.306293,-25.39687,165.11
754,135.302963,-25.38354,170.46
755,135.302963,-25.36854,166.27
756,135.299632,-25.35354,172.8
757,135.299632,-25.34021,170.3
758,135.299632,-25.32521,176.36
759,135.167965,-25.455211,183.18
760,135.166295,-25.443541,179.93
761,135.166294,-25.433541,175.97
762,135.162964,-25.400211,185.0
763,135.162964,-25.390211,188.22
764,135.161294,-25.368541,191.26
765,135.159634,-25.360211,186.52
766,135.147965,-25.420211,178.85
767,135.129635,-25.421871,182.45
768,135.116295,-25.421871,188.19
769,135.096295,-25.421872,192.1
770,135.082965,-25.423542,194.84
771,135.067965,-25.436872,197.83
772,135.069636,-25.451872,193.94
773,135.071296,-25.466872,191.03
774,135.071296,-25.481872,187.96
775,135.072966,-25.493542,185.59
776,134.896303,-26.011875,204.92
777,134.886303,-26.023545,209.77
778,134.882974,-26.036875,216.63
779,134.881304,-26.051875,222.64
780,134.879644,-26.066875,228.49
781,134.879644,-26.078545,228.59
782,134.877974,-26.091875,219.75
783,134.879644,-26.105215,220.31
784,134.879644,-26.120216,222.29
785,134.876305,-26.131876,215.05
786,134.909643,-26.001875,204.83
787,134.922973,-25.993545,201.05
788,134.931303,-25.985215,196.57
789,134.939642,-25.973545,196.87
790,134.949642,-25.961874,190.89
791,134.961302,-25.953544,180.66
792,134.976302,-25.946874,192.78
793,134.991301,-25.941874,185.55
794,135.002971,-25.935214,184.09
795,135.019641,-25.935214,183.17
796,135.034641,-25.938544,182.25
797,135.049641,-25.935213,181.21
798,135.064641,-25.931873,179.94
799,135.087969,-25.826873,176.8
800,135.087969,-25.840213,176.14
801,135.0863,-25.853543,175.64
802,135.08297,-25.865213,177.38
803,135.0813,-25.881873,180.49
804,135.07964,-25.895213,182.04
805,135.07797,-25.910213,181.19
806,135.257968,-25.821871,165.46
807,135.257968,-25.836871,164.21
808,135.259638,-25.850211,163.45
809,135.259638,-25.858541,162.15
810,135.269638,-25.865211,160.73
811,135.277968,-25.875211,158.3
812,135.287968,-25.886871,155.0
813,135.292968,-25.896871,156.34
814,135.297968,-25.910211,155.63
815,135.301298,-25.925211,155.77
816,135.304638,-25.936871,154.3
817,135.306299,-25.950211,150.42
